"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.sample.Jobf_21_ConsumeCPU.consume_0000","avgt",1,5,1.114232,0.018096,"ns/op"
"org.sample.Jobf_21_ConsumeCPU.consume_0001","avgt",1,5,1.995898,0.089422,"ns/op"
"org.sample.Jobf_21_ConsumeCPU.consume_0002","avgt",1,5,2.919469,0.051917,"ns/op"
"org.sample.Jobf_21_ConsumeCPU.consume_0004","avgt",1,5,3.932301,0.322104,"ns/op"
"org.sample.Jobf_21_ConsumeCPU.consume_0008","avgt",1,5,6.729034,1.351628,"ns/op"
"org.sample.Jobf_21_ConsumeCPU.consume_0016","avgt",1,5,14.375774,0.504756,"ns/op"
"org.sample.Jobf_21_ConsumeCPU.consume_0032","avgt",1,5,28.399503,5.363073,"ns/op"
"org.sample.Jobf_21_ConsumeCPU.consume_0064","avgt",1,5,68.420031,4.021094,"ns/op"
"org.sample.Jobf_21_ConsumeCPU.consume_0128","avgt",1,5,172.651669,15.997796,"ns/op"
"org.sample.Jobf_21_ConsumeCPU.consume_0256","avgt",1,5,360.580719,29.597620,"ns/op"
"org.sample.Jobf_21_ConsumeCPU.consume_0512","avgt",1,5,764.967738,77.417988,"ns/op"
"org.sample.Jobf_21_ConsumeCPU.consume_1024","avgt",1,5,2073.515196,341.758300,"ns/op"
