"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.sample.JMHSample_21_ConsumeCPU.consume_0000","avgt",1,5,1.117925,0.059481,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0001","avgt",1,5,2.072266,0.191862,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0002","avgt",1,5,3.243945,0.094139,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0004","avgt",1,5,3.581413,0.305590,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0008","avgt",1,5,6.689434,1.513014,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0016","avgt",1,5,11.070061,0.925119,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0032","avgt",1,5,25.055157,0.495532,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0064","avgt",1,5,62.268073,1.932337,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0128","avgt",1,5,152.500948,3.646599,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0256","avgt",1,5,333.284665,11.745990,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_0512","avgt",1,5,696.779783,14.045318,"ns/op"
"org.sample.JMHSample_21_ConsumeCPU.consume_1024","avgt",1,5,1416.557044,51.288069,"ns/op"
