"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.sample.IIIIlIl1I.I111l1II1","avgt",1,5,28.833429,19.239098,"ns/op"
"org.sample.IIIIlIl1I.I11l1lll1","avgt",1,5,69.695539,8.968095,"ns/op"
"org.sample.IIIIlIl1I.I1I11l111","avgt",1,5,2.011883,0.155884,"ns/op"
"org.sample.IIIIlIl1I.I1II111l1","avgt",1,5,10.988316,0.561635,"ns/op"
"org.sample.IIIIlIl1I.IIl1l111I","avgt",1,5,691.234280,23.417745,"ns/op"
"org.sample.IIIIlIl1I.IlIll1Il1","avgt",1,5,1655.360982,203.608142,"ns/op"
"org.sample.IIIIlIl1I.l1Ill1lll","avgt",1,5,155.195210,6.150120,"ns/op"
"org.sample.IIIIlIl1I.l1l11IIIl","avgt",1,5,3.410427,0.053247,"ns/op"
"org.sample.IIIIlIl1I.l1l1lIl1l","avgt",1,5,3.209687,0.086079,"ns/op"
"org.sample.IIIIlIl1I.lIIl11I1l","avgt",1,5,4.491714,0.273112,"ns/op"
"org.sample.IIIIlIl1I.lIlI11lIl","avgt",1,5,335.551043,13.485001,"ns/op"
"org.sample.IIIIlIl1I.llllI1lI1","avgt",1,5,5.607877,0.316991,"ns/op"
